                                 List of relations
 Schema |                           Name                            | Type  | Owner 
--------+-----------------------------------------------------------+-------+-------
 public | academic_canonicalrequirement                             | table | debug
 public | academic_courseequivalency                                | table | debug
 public | academic_records_document_quota                           | table | debug
 public | academic_records_document_quota_usage                     | table | debug
 public | academic_records_documentrequest                          | table | debug
 public | academic_records_documentrequestcomment                   | table | debug
 public | academic_records_documenttypeconfig                       | table | debug
 public | academic_records_documentusagetracker                     | table | debug
 public | academic_records_generateddocument                        | table | debug
 public | academic_studentcourseoverride                            | table | debug
 public | academic_studentdegreeprogress                            | table | debug
 public | academic_studentrequirementexception                      | table | debug
 public | academic_transfercredit                                   | table | debug
 public | account_emailaddress                                      | table | debug
 public | account_emailconfirmation                                 | table | debug
 public | accounts_department                                       | table | debug
 public | accounts_permission                                       | table | debug
 public | accounts_position                                         | table | debug
 public | accounts_positionassignment                               | table | debug
 public | accounts_role                                             | table | debug
 public | accounts_rolepermission                                   | table | debug
 public | accounts_teachingassignment                               | table | debug
 public | accounts_userrole                                         | table | debug
 public | attendance_attendancearchive                              | table | debug
 public | attendance_attendancerecord                               | table | debug
 public | attendance_attendancesession                              | table | debug
 public | attendance_attendancesettings                             | table | debug
 public | attendance_permissionrequest                              | table | debug
 public | attendance_rostersync                                     | table | debug
 public | auth_group                                                | table | debug
 public | auth_group_permissions                                    | table | debug
 public | auth_permission                                           | table | debug
 public | common_activitylog                                        | table | debug
 public | common_holiday                                            | table | debug
 public | common_notification                                       | table | debug
 public | common_room                                               | table | debug
 public | common_studentactivitylog                                 | table | debug
 public | common_systemauditlog                                     | table | debug
 public | constance_constance                                       | table | debug
 public | curriculum_course                                         | table | debug
 public | curriculum_course_majors                                  | table | debug
 public | curriculum_courseparttemplate                             | table | debug
 public | curriculum_courseparttemplate_textbooks                   | table | debug
 public | curriculum_courseprerequisite                             | table | debug
 public | curriculum_cycle                                          | table | debug
 public | curriculum_division                                       | table | debug
 public | curriculum_major                                          | table | debug
 public | curriculum_seniorprojectgroup                             | table | debug
 public | curriculum_seniorprojectgroup_students                    | table | debug
 public | curriculum_term                                           | table | debug
 public | curriculum_textbook                                       | table | debug
 public | debug_toolbar_historyentry                                | table | debug
 public | django_admin_log                                          | table | debug
 public | django_content_type                                       | table | debug
 public | django_dramatiq_task                                      | table | debug
 public | django_migrations                                         | table | debug
 public | django_session                                            | table | debug
 public | django_site                                               | table | debug
 public | enrollment_academicjourney                                | table | debug
 public | enrollment_academicprogression                            | table | debug
 public | enrollment_certificateissuance                            | table | debug
 public | enrollment_classheaderenrollment                          | table | debug
 public | enrollment_classpartenrollment                            | table | debug
 public | enrollment_classsessionexemption                          | table | debug
 public | enrollment_majordeclaration                               | table | debug
 public | enrollment_programenrollment                              | table | debug
 public | enrollment_programmilestone                               | table | debug
 public | enrollment_programperiod                                  | table | debug
 public | enrollment_programtransition                              | table | debug
 public | enrollment_seniorprojectgroup                             | table | debug
 public | enrollment_seniorprojectgroup_students                    | table | debug
 public | enrollment_student_cycle_status                           | table | debug
 public | enrollment_studentcourseeligibility                       | table | debug
 public | enrollment_studentcourseeligibility_missing_prerequisites | table | debug
 public | finance_administrative_fee_config                         | table | debug
 public | finance_ar_reconstruction_batch                           | table | debug
 public | finance_cashier_session                                   | table | debug
 public | finance_cashier_session_backup                            | table | debug
 public | finance_clerk_identification                              | table | debug
 public | finance_course_fixed_pricing                              | table | debug
 public | finance_default_pricing                                   | table | debug
 public | finance_discount_application                              | table | debug
 public | finance_discount_rule                                     | table | debug
 public | finance_document_excess_fee                               | table | debug
 public | finance_fee_gl_mapping                                    | table | debug
 public | finance_fee_pricing                                       | table | debug
 public | finance_financialtransaction                              | table | debug
 public | finance_gl_account                                        | table | debug
 public | finance_gl_batch                                          | table | debug
 public | finance_invoice                                           | table | debug
 public | finance_invoice_line_item                                 | table | debug
 public | finance_journal_entry                                     | table | debug
 public | finance_journal_entry_line                                | table | debug
 public | finance_legacy_receipt_mapping                            | table | debug
 public | finance_materiality_threshold                             | table | debug
 public | finance_payment                                           | table | debug
 public | finance_reading_class_pricing                             | table | debug
 public | finance_reconciliation_adjustment                         | table | debug
 public | finance_reconciliation_batch                              | table | debug
 public | finance_reconciliation_rule                               | table | debug
 public | finance_reconciliation_status                             | table | debug
 public | finance_reconciliation_status_matched_enrollments         | table | debug
 public | finance_reconstruction_scholarship_entry                  | table | debug
 public | finance_senior_project_course                             | table | debug
 public | finance_senior_project_pricing                            | table | debug
 public | grading_classpartgrade                                    | table | debug
 public | grading_classsessiongrade                                 | table | debug
 public | grading_gparecord                                         | table | debug
 public | grading_gradechangehistory                                | table | debug
 public | grading_gradeconversion                                   | table | debug
 public | grading_gradingscale                                      | table | debug
 public | language_languagelevelskiprequest                         | table | debug
 public | language_languageprogrampromotion                         | table | debug
 public | language_languagestudentpromotion                         | table | debug
 public | legacy_academic_classes                                   | table | debug
 public | legacy_course_takers                                      | table | debug
 public | legacy_et_results                                         | table | debug
 public | legacy_receipt_headers                                    | table | debug
 public | legacy_students                                           | table | debug
 public | legacy_students_validated                                 | table | debug
 public | level_testing_duplicatecandidate                          | table | debug
 public | level_testing_placementtest                               | table | debug
 public | level_testing_potentialstudent                            | table | debug
 public | level_testing_testaccesstoken                             | table | debug
 public | level_testing_testattempt                                 | table | debug
 public | level_testing_testcompletion                              | table | debug
 public | level_testing_testpayment                                 | table | debug
 public | level_testing_testsession                                 | table | debug
 public | mfa_authenticator                                         | table | debug
 public | mobile_auth_attempts                                      | table | debug
 public | mobile_auth_tokens                                        | table | debug
 public | people_emergencycontact                                   | table | debug
 public | people_person                                             | table | debug
 public | people_personeventlog                                     | table | debug
 public | people_phonenumber                                        | table | debug
 public | people_staffprofile                                       | table | debug
 public | people_studentauditlog                                    | table | debug
 public | people_studentphoto                                       | table | debug
 public | people_studentprofile                                     | table | debug
 public | people_teacherleaverequest                                | table | debug
 public | people_teacherleaverequest_affected_class_parts           | table | debug
 public | people_teacherprofile                                     | table | debug
 public | scheduling_classheader                                    | table | debug
 public | scheduling_classpart                                      | table | debug
 public | scheduling_classpart_textbooks                            | table | debug
 public | scheduling_classparttemplate                              | table | debug
 public | scheduling_classparttemplate_default_textbooks            | table | debug
 public | scheduling_classparttemplateset                           | table | debug
 public | scheduling_classpromotionrule                             | table | debug
 public | scheduling_classsession                                   | table | debug
 public | scheduling_combinedclassgroup                             | table | debug
 public | scheduling_combinedclassinstance                          | table | debug
 public | scheduling_combinedcoursetemplate                         | table | debug
 public | scheduling_combinedcoursetemplate_courses                 | table | debug
 public | scheduling_readingclass                                   | table | debug
 public | scheduling_testperiodreset                                | table | debug
 public | scheduling_testperiodreset_specific_classes               | table | debug
 public | scholarships_scholarship                                  | table | debug
 public | scholarships_sponsor                                      | table | debug
 public | scholarships_sponsoredstudent                             | table | debug
 public | socialaccount_socialaccount                               | table | debug
